MetricL7,Thu, 5 Jan 2023 21:06:00 EET
Method,CogC,v(G)
com.example.l6.socialnetwork.service.FriendshipRequestService.notifyObservers(FriendRequestEvent),0,1
"com.example.l6.socialnetwork.service.FriendshipRequestService.reject(long, long)",2,3
"com.example.l6.socialnetwork.service.FriendshipRequestService.remove(long, long)",1,2
com.example.l6.socialnetwork.service.FriendshipRequestService.removeObserver(Observer<FriendRequestEvent>),0,1
"com.example.l6.socialnetwork.service.FriendshipService.FriendshipService(Repository<Long, User>, Repository<Tuple<Long, Long>, FriendRequest>, Repository<Tuple<Long, Long>, Friendship>, Validator<Friendship>)",0,1
com.example.l6.socialnetwork.service.FriendshipService.addObserver(Observer<FriendshipEvent>),0,1
"com.example.l6.socialnetwork.service.FriendshipService.findFriendship(long, long)",0,1
com.example.l6.socialnetwork.service.FriendshipService.notifyObservers(FriendshipEvent),0,1
com.example.l6.socialnetwork.service.FriendshipService.removeFriendship(Friendship),4,5
com.example.l6.socialnetwork.service.FriendshipService.removeObserver(Observer<FriendshipEvent>),0,1
"com.example.l6.socialnetwork.service.MessageService.MessageService(Repository<Long, Message>, Repository<Tuple<Long, Long>, Friendship>, MessageValidator)",0,1
com.example.l6.socialnetwork.service.MessageService.addObserver(Observer<MessageEvent>),0,1
com.example.l6.socialnetwork.service.MessageService.generateMessageID(),1,2
"com.example.l6.socialnetwork.service.MessageService.getConversation(Long, Long)",13,9
"com.example.l6.socialnetwork.service.MessageService.getGroupConversation(Long, ArrayList<Long>)",4,4
com.example.l6.socialnetwork.service.MessageService.getMessage(long),0,1
com.example.l6.socialnetwork.service.MessageService.notifyObservers(MessageEvent),0,1
com.example.l6.socialnetwork.service.MessageService.removeObserver(Observer<MessageEvent>),0,1
"com.example.l6.socialnetwork.service.MessageService.replyToAll(Message, ArrayList<Long>, Long)",2,2
"com.example.l6.socialnetwork.service.MessageService.replyToOne(Message, Long)",0,1
com.example.l6.socialnetwork.service.MessageService.sendMessage(Message),5,4
com.example.l6.socialnetwork.service.ServiceException.ServiceException(String),0,1
"com.example.l6.socialnetwork.service.UserService.UserService(Repository<Long, User>, Repository<Tuple<Long, Long>, Friendship>, Repository<String, Account>, Validator<User>, Validator<Account>)",0,1
com.example.l6.socialnetwork.service.UserService.addObserver(Observer<UserEvent>),0,1
"com.example.l6.socialnetwork.service.UserService.addUser(User, Account)",1,2
com.example.l6.socialnetwork.service.UserService.deleteUser(long),1,2
com.example.l6.socialnetwork.service.UserService.findAccount(String),1,2
com.example.l6.socialnetwork.service.UserService.findUser(long),0,1
com.example.l6.socialnetwork.service.UserService.findUserByName(String),2,2
com.example.l6.socialnetwork.service.UserService.generateUserID(),1,2
com.example.l6.socialnetwork.service.UserService.getAll(),3,3
com.example.l6.socialnetwork.service.UserService.getFriends(long),4,3
com.example.l6.socialnetwork.service.UserService.notifyObservers(UserEvent),0,1
com.example.l6.socialnetwork.service.UserService.removeObserver(Observer<UserEvent>),0,1
com.example.l6.socialnetwork.ui.MainFX.main(String[]),0,1
com.example.l6.socialnetwork.ui.MainFX.start(Stage),0,1
"compare(Message, Message)",2,n/a
handle(KeyEvent),5,n/a
handle(MouseEvent),1,n/a

Class,CBO,DIT,LCOM,NOC,WMC
com.example.l6.socialnetwork.Domain.Account,8,2,3,0,7
com.example.l6.socialnetwork.Domain.Entity,20,1,1,5,2
com.example.l6.socialnetwork.Domain.FriendRequest,10,2,4,0,9
com.example.l6.socialnetwork.Domain.Friendship,14,2,1,0,3
com.example.l6.socialnetwork.Domain.Message,6,2,5,0,11
com.example.l6.socialnetwork.Domain.Status,4,n/a,2,n/a,0
com.example.l6.socialnetwork.Domain.Tuple,14,1,2,0,9
com.example.l6.socialnetwork.Domain.User,12,2,3,0,18
com.example.l6.socialnetwork.Domain.validators.AccountValidator,7,1,1,0,2
com.example.l6.socialnetwork.Domain.validators.FriendRequestValidator,5,1,1,0,2
com.example.l6.socialnetwork.Domain.validators.FriendshipValidator,6,1,1,0,2
com.example.l6.socialnetwork.Domain.validators.MessageValidator,5,1,1,0,5
com.example.l6.socialnetwork.Domain.validators.UserValidator,7,1,1,0,8
com.example.l6.socialnetwork.Domain.validators.ValidationException,7,4,0,0,5
com.example.l6.socialnetwork.Main,1,1,1,0,1
com.example.l6.socialnetwork.MyException,7,4,1,2,2
com.example.l6.socialnetwork.config.ApplicationContext,1,1,1,0,1
com.example.l6.socialnetwork.config.Config,1,1,1,0,1
com.example.l6.socialnetwork.controller.FriendRequestController,15,1,1,0,10
com.example.l6.socialnetwork.controller.HomeController,25,1,2,0,17
com.example.l6.socialnetwork.controller.LoginController,15,1,2,0,4
com.example.l6.socialnetwork.controller.MessageAlert,0,1,2,0,2
com.example.l6.socialnetwork.controller.MessageController,20,1,2,0,14
com.example.l6.socialnetwork.controller.SignUpController,14,1,1,0,3
com.example.l6.socialnetwork.event.ChangeEventType,8,n/a,2,n/a,0
com.example.l6.socialnetwork.event.FriendRequestEvent,5,1,3,0,5
com.example.l6.socialnetwork.event.FriendshipEvent,4,1,3,0,5
com.example.l6.socialnetwork.event.MessageEvent,5,1,3,0,5
com.example.l6.socialnetwork.event.UserEvent,5,1,3,0,5
com.example.l6.socialnetwork.repository.RepositoryException,3,5,0,0,1
com.example.l6.socialnetwork.repository.database.AccountDatabaseRepository,8,1,1,0,11
com.example.l6.socialnetwork.repository.database.FriendRequestDatabaseRepository,7,1,1,0,14
com.example.l6.socialnetwork.repository.database.FriendshipDatabaseRepository,9,1,1,0,10
com.example.l6.socialnetwork.repository.database.MessageDatabaseRepository,5,1,3,0,12
com.example.l6.socialnetwork.repository.database.UserDatabaseRepository,8,1,1,0,10
com.example.l6.socialnetwork.service.FriendshipRequestService,15,1,1,0,23
com.example.l6.socialnetwork.service.FriendshipService,13,1,1,0,10
com.example.l6.socialnetwork.service.MessageService,13,1,1,0,24
com.example.l6.socialnetwork.service.ServiceException,5,5,0,0,1
com.example.l6.socialnetwork.service.UserService,16,1,1,0,20
com.example.l6.socialnetwork.ui.MainFX,1,2,2,0,2

Package,Ca,Ce,I
com.example.l6.socialnetwork,22,2,0.08
com.example.l6.socialnetwork.Domain,625,0,0.00
com.example.l6.socialnetwork.Domain.validators,28,23,0.45
com.example.l6.socialnetwork.config,0,0,1.00
com.example.l6.socialnetwork.controller,0,296,1.00
com.example.l6.socialnetwork.event,64,28,0.30
com.example.l6.socialnetwork.observer,35,2,0.05
com.example.l6.socialnetwork.repository,89,3,0.03
com.example.l6.socialnetwork.repository.database,17,184,0.92
com.example.l6.socialnetwork.service,41,385,0.90
com.example.l6.socialnetwork.ui,2,0,0.00

