Complexity metrics (2),Fri, 16 Dec 2022 00:19:47 EET
Method,CogC,v(G)
com.example.l6.socialnetwork.Domain.validators.AccountValidator,2
com.example.l6.socialnetwork.Domain.validators.FriendRequestValidator,2
com.example.l6.socialnetwork.Domain.validators.FriendshipValidator,2
com.example.l6.socialnetwork.Domain.validators.UserValidator,8
com.example.l6.socialnetwork.Domain.validators.ValidationException,5
com.example.l6.socialnetwork.Main,1
com.example.l6.socialnetwork.MyException,2
com.example.l6.socialnetwork.config.ApplicationContext,1
com.example.l6.socialnetwork.config.Config,1
com.example.l6.socialnetwork.controller.FriendRequestController,10
com.example.l6.socialnetwork.controller.HomeController,16
com.example.l6.socialnetwork.controller.LoginController,4
com.example.l6.socialnetwork.controller.SignUpController,3
com.example.l6.socialnetwork.event.ChangeEventType,0
com.example.l6.socialnetwork.event.FriendRequestEvent,5
com.example.l6.socialnetwork.event.FriendshipEvent,5
com.example.l6.socialnetwork.event.UserEvent,5
com.example.l6.socialnetwork.repository.RepositoryException,1
com.example.l6.socialnetwork.repository.database.AccountDatabaseRepository,11
com.example.l6.socialnetwork.repository.database.FriendRequestDatabaseRepository,14
com.example.l6.socialnetwork.repository.database.FriendshipDatabaseRepository,10
com.example.l6.socialnetwork.repository.database.UserDatabaseRepository,10
com.example.l6.socialnetwork.service.FriendshipRequestService,23
com.example.l6.socialnetwork.service.FriendshipService,10
com.example.l6.socialnetwork.service.ServiceException,1
com.example.l6.socialnetwork.service.UserService,20
com.example.l6.socialnetwork.ui.MainFX,2

